| end of split  35 /100 | epoch   2 | time: 1001.04s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  36 /100 | epoch   2 | time: 1014.04s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  37 /100 | epoch   2 | time: 1018.98s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  38 /100 | epoch   2 | time: 992.79s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  39 /100 | epoch   2 | time: 1011.05s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  40 /100 | epoch   2 | time: 1014.92s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  41 /100 | epoch   2 | time: 988.29s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  42 /100 | epoch   2 | time: 999.92s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  43 /100 | epoch   2 | time: 992.23s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  44 /100 | epoch   2 | time: 992.00s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  45 /100 | epoch   2 | time: 988.72s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  46 /100 | epoch   2 | time: 993.11s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  47 /100 | epoch   2 | time: 997.94s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  48 /100 | epoch   2 | time: 994.61s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  49 /100 | epoch   2 | time: 999.53s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  50 /100 | epoch   2 | time: 1001.00s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  51 /100 | epoch   2 | time: 993.28s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  52 /100 | epoch   2 | time: 987.31s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  53 /100 | epoch   2 | time: 1002.21s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  54 /100 | epoch   2 | time: 1004.67s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  55 /100 | epoch   2 | time: 993.51s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  56 /100 | epoch   2 | time: 992.87s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  57 /100 | epoch   2 | time: 989.86s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  58 /100 | epoch   2 | time: 993.71s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  59 /100 | epoch   2 | time: 998.24s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  60 /100 | epoch   2 | time: 995.66s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  61 /100 | epoch   2 | time: 1009.60s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  62 /100 | epoch   2 | time: 1011.57s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  63 /100 | epoch   2 | time: 987.42s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  64 /100 | epoch   2 | time: 991.41s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  65 /100 | epoch   2 | time: 987.40s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  66 /100 | epoch   2 | time: 1000.53s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  67 /100 | epoch   2 | time: 999.45s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  68 /100 | epoch   2 | time: 1024.17s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  69 /100 | epoch   2 | time: 1004.67s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  70 /100 | epoch   2 | time: 1007.03s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
